,asin,positive about carrier,negative about carrier,positive about phone unlocking,negative about phone unlocking,positive about design,negative about design,positive about camera,negative about camera,positive about OS,negative about OS,positive about memory,negative about memory,positive about battery,negative about battery,positive about network,negative about network,positive about apps,negative about apps,positive about customer service,negative about customer service,positive about brand,negative about brand,positive about screen,negative about screen,positive about price,negative about price,positive about purchase experience,negative about purchase experience,overall postive feedback,overall negative feedback,rating,overall neutral,overall positive,overall negative
0,B002WTC1NG,0.41,0.1,0.1,0.06,0.58,0.19,0.06,0.02,0.11,0.0,0.03,0.02,0.07,0.05,0.32,0.09,0.06,0.01,0.52,0.19,0.55,0.15,0.18,0.08,0.21,0.05,0.62,0.22,0.66,0.23,3.96,0.15,0.64,0.21
1,B004H23JXW,0.16,0.08,0.09,0.06,0.47,0.2,0.12,0.03,0.25,0.06,0.04,0.02,0.04,0.06,0.13,0.12,0.07,0.06,0.31,0.22,0.44,0.21,0.24,0.08,0.19,0.06,0.51,0.32,0.62,0.36,3.62,0.15,0.56,0.29
2,B007X6FFLS,0.34,0.11,0.11,0.04,0.52,0.21,0.04,0.03,0.1,0.02,0.01,0.02,0.09,0.05,0.31,0.1,0.07,0.02,0.37,0.18,0.52,0.19,0.17,0.09,0.34,0.1,0.6,0.24,0.64,0.27,3.79,0.13,0.62,0.25
3,B00836Y6B2,0.25,0.15,0.07,0.1,0.52,0.25,0.1,0.03,0.12,0.06,0.02,0.02,0.02,0.07,0.18,0.16,0.1,0.05,0.37,0.28,0.5,0.26,0.19,0.13,0.14,0.05,0.52,0.35,0.56,0.38,3.51,0.12,0.53,0.34
4,B0096QYH80,0.27,0.12,0.04,0.06,0.53,0.18,0.05,0.06,0.14,0.02,0.01,0.04,0.13,0.08,0.18,0.1,0.04,0.03,0.32,0.19,0.52,0.22,0.26,0.1,0.21,0.06,0.59,0.29,0.64,0.3,3.58,0.12,0.61,0.27
5,B00A2V7BA4,0.11,0.05,0.04,0.02,0.58,0.1,0.28,0.02,0.38,0.03,0.02,0.0,0.08,0.06,0.15,0.03,0.14,0.04,0.18,0.09,0.57,0.1,0.3,0.05,0.12,0.02,0.63,0.16,0.75,0.22,4.26,0.14,0.69,0.17
6,B00CEKXJ3Y,0.28,0.13,0.06,0.04,0.61,0.13,0.12,0.0,0.11,0.01,0.02,0.01,0.08,0.06,0.22,0.1,0.05,0.02,0.39,0.18,0.63,0.14,0.33,0.06,0.22,0.04,0.64,0.24,0.67,0.24,3.95,0.12,0.66,0.22
7,B00CEKXZA6,0.3,0.12,0.08,0.04,0.69,0.13,0.09,0.01,0.14,0.02,0.02,0.02,0.06,0.04,0.25,0.11,0.06,0.01,0.43,0.15,0.69,0.15,0.4,0.05,0.23,0.04,0.73,0.18,0.77,0.19,4.3,0.07,0.75,0.18
8,B00CGIULGC,0.26,0.16,0.05,0.08,0.48,0.24,0.05,0.01,0.06,0.01,0.02,0.02,0.02,0.07,0.2,0.12,0.02,0.04,0.38,0.24,0.48,0.21,0.23,0.12,0.16,0.07,0.53,0.32,0.55,0.38,3.61,0.12,0.52,0.36
9,B00CQAODG4,0.15,0.08,0.02,0.05,0.55,0.16,0.27,0.04,0.35,0.06,0.02,0.03,0.08,0.04,0.13,0.06,0.15,0.09,0.2,0.14,0.52,0.14,0.34,0.09,0.12,0.05,0.57,0.23,0.7,0.28,3.96,0.14,0.64,0.22
