,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,row_id,aspect_term,aspect_category,sentiment_term,sentiment_category
0,5.0,A MUST HAVE if your TV is over 3 years old!!!!!,"I LOVE my Amazon 4K Fire Stick!!!  My TV is only 5 years old but already out of date!  I couldn’t load any new apps but now I do it all on my Fire Stick, and I have only had a brief pause in streaming once, most likely due to my wifi connection.  I like it so much I have purchased a second one for one of my other TVs and I have recommended it to so many friends who were having the same issues I was with their relatively new, yet “old” TV.  Since I already have an echo dot in my room, I just tell Alexa what I want on the TV and she does it!  Definitely one of my best purchases for 2020!!!!",[],B079QHML21,B07GZFM1ZM,AH2ZSLHQVBDWUNOSNGNL7A7MBZQA,1607909896367,0,True,6,Amazon 4K Fire Stick,product,LOVE,positive
1,5.0,A MUST HAVE if your TV is over 3 years old!!!!!,"I LOVE my Amazon 4K Fire Stick!!!  My TV is only 5 years old but already out of date!  I couldn’t load any new apps but now I do it all on my Fire Stick, and I have only had a brief pause in streaming once, most likely due to my wifi connection.  I like it so much I have purchased a second one for one of my other TVs and I have recommended it to so many friends who were having the same issues I was with their relatively new, yet “old” TV.  Since I already have an echo dot in my room, I just tell Alexa what I want on the TV and she does it!  Definitely one of my best purchases for 2020!!!!",[],B079QHML21,B07GZFM1ZM,AH2ZSLHQVBDWUNOSNGNL7A7MBZQA,1607909896367,0,True,6,TV,device,out of date,negative
2,5.0,A MUST HAVE if your TV is over 3 years old!!!!!,"I LOVE my Amazon 4K Fire Stick!!!  My TV is only 5 years old but already out of date!  I couldn’t load any new apps but now I do it all on my Fire Stick, and I have only had a brief pause in streaming once, most likely due to my wifi connection.  I like it so much I have purchased a second one for one of my other TVs and I have recommended it to so many friends who were having the same issues I was with their relatively new, yet “old” TV.  Since I already have an echo dot in my room, I just tell Alexa what I want on the TV and she does it!  Definitely one of my best purchases for 2020!!!!",[],B079QHML21,B07GZFM1ZM,AH2ZSLHQVBDWUNOSNGNL7A7MBZQA,1607909896367,0,True,6,fire stick,usability,brief pause in streaming,negative
3,5.0,A MUST HAVE if your TV is over 3 years old!!!!!,"I LOVE my Amazon 4K Fire Stick!!!  My TV is only 5 years old but already out of date!  I couldn’t load any new apps but now I do it all on my Fire Stick, and I have only had a brief pause in streaming once, most likely due to my wifi connection.  I like it so much I have purchased a second one for one of my other TVs and I have recommended it to so many friends who were having the same issues I was with their relatively new, yet “old” TV.  Since I already have an echo dot in my room, I just tell Alexa what I want on the TV and she does it!  Definitely one of my best purchases for 2020!!!!",[],B079QHML21,B07GZFM1ZM,AH2ZSLHQVBDWUNOSNGNL7A7MBZQA,1607909896367,0,True,6,wifi connection,connectivity,due to,neutral
4,5.0,A MUST HAVE if your TV is over 3 years old!!!!!,"I LOVE my Amazon 4K Fire Stick!!!  My TV is only 5 years old but already out of date!  I couldn’t load any new apps but now I do it all on my Fire Stick, and I have only had a brief pause in streaming once, most likely due to my wifi connection.  I like it so much I have purchased a second one for one of my other TVs and I have recommended it to so many friends who were having the same issues I was with their relatively new, yet “old” TV.  Since I already have an echo dot in my room, I just tell Alexa what I want on the TV and she does it!  Definitely one of my best purchases for 2020!!!!",[],B079QHML21,B07GZFM1ZM,AH2ZSLHQVBDWUNOSNGNL7A7MBZQA,1607909896367,0,True,6,fire stick,usability,like it so much,positive
5,5.0,A MUST HAVE if your TV is over 3 years old!!!!!,"I LOVE my Amazon 4K Fire Stick!!!  My TV is only 5 years old but already out of date!  I couldn’t load any new apps but now I do it all on my Fire Stick, and I have only had a brief pause in streaming once, most likely due to my wifi connection.  I like it so much I have purchased a second one for one of my other TVs and I have recommended it to so many friends who were having the same issues I was with their relatively new, yet “old” TV.  Since I already have an echo dot in my room, I just tell Alexa what I want on the TV and she does it!  Definitely one of my best purchases for 2020!!!!",[],B079QHML21,B07GZFM1ZM,AH2ZSLHQVBDWUNOSNGNL7A7MBZQA,1607909896367,0,True,6,echo dot,compatibility,just tell Alexa,positive
6,5.0,A MUST HAVE if your TV is over 3 years old!!!!!,"I LOVE my Amazon 4K Fire Stick!!!  My TV is only 5 years old but already out of date!  I couldn’t load any new apps but now I do it all on my Fire Stick, and I have only had a brief pause in streaming once, most likely due to my wifi connection.  I like it so much I have purchased a second one for one of my other TVs and I have recommended it to so many friends who were having the same issues I was with their relatively new, yet “old” TV.  Since I already have an echo dot in my room, I just tell Alexa what I want on the TV and she does it!  Definitely one of my best purchases for 2020!!!!",[],B079QHML21,B07GZFM1ZM,AH2ZSLHQVBDWUNOSNGNL7A7MBZQA,1607909896367,0,True,6,purchase,overall_experience,best,positive
7,1.0,Hate kindle fire,"I hate this tablet.  Ithe worked fine for a while.  Now if I try to play a game it starts playing by itself, it opens programs and kindle books without me touching anything.  Guess you get what you pay for.",[],B00TSUGXKE,B010BWYDYA,AGDGE2DEAOSIWBQHP6NREKY2MUDQ,1476455316000,2,True,18,tablet,hardware,hate,negative
8,1.0,Hate kindle fire,"I hate this tablet.  Ithe worked fine for a while.  Now if I try to play a game it starts playing by itself, it opens programs and kindle books without me touching anything.  Guess you get what you pay for.",[],B00TSUGXKE,B010BWYDYA,AGDGE2DEAOSIWBQHP6NREKY2MUDQ,1476455316000,2,True,18,tablet,performance,fine,positive
9,1.0,Hate kindle fire,"I hate this tablet.  Ithe worked fine for a while.  Now if I try to play a game it starts playing by itself, it opens programs and kindle books without me touching anything.  Guess you get what you pay for.",[],B00TSUGXKE,B010BWYDYA,AGDGE2DEAOSIWBQHP6NREKY2MUDQ,1476455316000,2,True,18,tablet,performance,playing by itself,negative
10,1.0,Hate kindle fire,"I hate this tablet.  Ithe worked fine for a while.  Now if I try to play a game it starts playing by itself, it opens programs and kindle books without me touching anything.  Guess you get what you pay for.",[],B00TSUGXKE,B010BWYDYA,AGDGE2DEAOSIWBQHP6NREKY2MUDQ,1476455316000,2,True,18,tablet,performance,opens programs and kindle books without me touching anything,negative
11,1.0,Hate kindle fire,"I hate this tablet.  Ithe worked fine for a while.  Now if I try to play a game it starts playing by itself, it opens programs and kindle books without me touching anything.  Guess you get what you pay for.",[],B00TSUGXKE,B010BWYDYA,AGDGE2DEAOSIWBQHP6NREKY2MUDQ,1476455316000,2,True,18,price,value_for_money,you get what you pay for,negative
12,5.0,Love it love it,Love it love it. Easy to use. I am able to read it in the sunshine or in the dark. The screen is great.,[],B00OQVZDJM,B00OQVZDJM,AE6REOUWA4BLVOZ4DZRN3KLKR2TQ,1489984075000,0,True,32,usability,usability,Easy to use,positive
13,5.0,Love it love it,Love it love it. Easy to use. I am able to read it in the sunshine or in the dark. The screen is great.,[],B00OQVZDJM,B00OQVZDJM,AE6REOUWA4BLVOZ4DZRN3KLKR2TQ,1489984075000,0,True,32,screen,screen_quality,great,positive
