rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Buen vendedor,Todo perfecto,[],B06XWZWYVP,B071R715MZ,AGTUTBAETJADNOTZNQMDM6MD7EUA,1550165327367,0,True
4.0,Easy to set up,Sound is good quality. I like it that although I only bought one set of headphones the charger has an option for a second set incase I want to buy another one.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/716dDHbOh0L._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/716dDHbOh0L._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/716dDHbOh0L._SL256_.jpg'}]",B094HGQKFY,B096N43C98,AFM6YFPTEMBQ5EJYNX5QIFV6ZTPQ,1644514482866,2,True
5.0,Five Stars,DOES EXACTLY WHAT IT IS INTENDED FOR.,[],B00CIOA89E,B00CIOA89E,AFVHI5KJMQW42B4OLQ7O4MQCLJYA,1407881213000,0,True
5.0,Clear sharp picture,The TV antennae is quick to install and drivers a perfect Signature to my TV saving  me reoccurring monthly costs.,[],B07P6YY1KK,B07P6YY1KK,AHMXFTTVTPM7BU7MUBGLRAHHHZTA,1602586461351,1,True
4.0,"Great value, Great Product","Super easy to setup, took less then a minute.  Sound quality good, liked it so much bought a second one as a gift.",[],B005A0B7CA,B005A0B7CA,AEK5CGQAJAK5TL4EBO5NNOVZHXLA,1405331888000,0,True
5.0,A MUST HAVE if your TV is over 3 years old!!!!!,"I LOVE my Amazon 4K Fire Stick!!!  My TV is only 5 years old but already out of date!  I couldn’t load any new apps but now I do it all on my Fire Stick, and I have only had a brief pause in streaming once, most likely due to my wifi connection.  I like it so much I have purchased a second one for one of my other TVs and I have recommended it to so many friends who were having the same issues I was with their relatively new, yet “old” TV.  Since I already have an echo dot in my room, I just tell Alexa what I want on the TV and she does it!  Definitely one of my best purchases for 2020!!!!",[],B079QHML21,B07GZFM1ZM,AH2ZSLHQVBDWUNOSNGNL7A7MBZQA,1607909896367,0,True
5.0,Excellent Quality,"The quality of the picture is excellent. The display is bright and image is sharp. The fan can be a little bit noisy, but it doesn't interfere with the overall experience.",[],B07WS7XFLG,B07WS7XFLG,AG4M5QEIKMBNZEA3TQREQONMDQUQ,1649693790974,0,True
5.0,"Sturdy, and fantastic organizer.","Ordered 3 of these. I have 2 stacked on top of each other with my screen ontop. I use it to hold my 27inch Monitor, PS4 games and PS4 Slim. The third one my wife has her 27inch screen on it and her ps4 under it. Great organizer, sturdy, all parts where in the packge, and was pretty easy to assemble. I had all 3 assembled in about 15 minutes. The cord holder is a little useless as if you put more than 2 cords through it, it doesn't do its job. Not a big deal, zip ties work fine for me! Highly recommend if you're in the market for a small desk stand.",[],B01M4S7ZGM,B0B9GFKYSZ,AEEJZAUUPMWLRNQPXZCWVZN7OKUQ,1528333540980,48,True
5.0,Works well.,Works really well for your firestick or other streaming devices that need more space to plug in.,[],B07Z91QRWT,B07Z91QRWT,AFA3TEZOX4HK3MA7MUOVHKITP5XQ,1670769037427,0,True
5.0,Five Stars,Came on time amd is performing well so far for 3 weeks,[],B00F90U9NO,B00F90U9NO,AFXK45PNXUHHJUM7243LNFRXJJPQ,1444704313000,0,True
2.0,"it doesn't fit snug,, it fits loosely. ...","it doesn't fit  snug,, it fits loosely. when on tablet it just falls off.  still searching for one that will work",[],B01IB9643S,B01IB9643S,AEMHGWJWFFKKOMLQ2ZVFUB37LTYQ,1482932199000,1,True
